datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-03-31 02:00:00-04:00,2026-03-31 06:00:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 02:00:00-04:00,2026-03-31 06:00:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 02:05:00-04:00,2026-03-31 06:05:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 02:05:00-04:00,2026-03-31 06:05:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 02:10:00-04:00,2026-03-31 06:10:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 02:10:00-04:00,2026-03-31 06:10:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 02:15:00-04:00,2026-03-31 06:15:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 02:15:00-04:00,2026-03-31 06:15:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 02:20:00-04:00,2026-03-31 06:20:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 02:20:00-04:00,2026-03-31 06:20:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 02:25:00-04:00,2026-03-31 06:25:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 02:25:00-04:00,2026-03-31 06:25:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 02:30:00-04:00,2026-03-31 06:30:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 02:30:00-04:00,2026-03-31 06:30:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 02:35:00-04:00,2026-03-31 06:35:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 02:35:00-04:00,2026-03-31 06:35:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 02:40:00-04:00,2026-03-31 06:40:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 02:40:00-04:00,2026-03-31 06:40:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 02:45:00-04:00,2026-03-31 06:45:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 02:45:00-04:00,2026-03-31 06:45:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 02:50:00-04:00,2026-03-31 06:50:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 02:50:00-04:00,2026-03-31 06:50:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 02:55:00-04:00,2026-03-31 06:55:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 02:55:00-04:00,2026-03-31 06:55:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 03:00:00-04:00,2026-03-31 07:00:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 03:00:00-04:00,2026-03-31 07:00:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 03:05:00-04:00,2026-03-31 07:05:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 03:05:00-04:00,2026-03-31 07:05:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 03:10:00-04:00,2026-03-31 07:10:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 03:10:00-04:00,2026-03-31 07:10:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 03:15:00-04:00,2026-03-31 07:15:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 03:15:00-04:00,2026-03-31 07:15:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 03:20:00-04:00,2026-03-31 07:20:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 03:20:00-04:00,2026-03-31 07:20:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 03:25:00-04:00,2026-03-31 07:25:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 03:25:00-04:00,2026-03-31 07:25:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 03:30:00-04:00,2026-03-31 07:30:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 03:30:00-04:00,2026-03-31 07:30:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 03:35:00-04:00,2026-03-31 07:35:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 03:35:00-04:00,2026-03-31 07:35:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 03:40:00-04:00,2026-03-31 07:40:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 03:40:00-04:00,2026-03-31 07:40:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 03:45:00-04:00,2026-03-31 07:45:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 03:45:00-04:00,2026-03-31 07:45:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 03:50:00-04:00,2026-03-31 07:50:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 03:50:00-04:00,2026-03-31 07:50:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 03:55:00-04:00,2026-03-31 07:55:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 03:55:00-04:00,2026-03-31 07:55:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 04:00:00-04:00,2026-03-31 08:00:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 04:00:00-04:00,2026-03-31 08:00:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 04:05:00-04:00,2026-03-31 08:05:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 04:05:00-04:00,2026-03-31 08:05:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 04:10:00-04:00,2026-03-31 08:10:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 04:10:00-04:00,2026-03-31 08:10:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 04:15:00-04:00,2026-03-31 08:15:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 04:15:00-04:00,2026-03-31 08:15:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 04:20:00-04:00,2026-03-31 08:20:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 04:20:00-04:00,2026-03-31 08:20:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 04:25:00-04:00,2026-03-31 08:25:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 04:25:00-04:00,2026-03-31 08:25:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 04:30:00-04:00,2026-03-31 08:30:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 04:30:00-04:00,2026-03-31 08:30:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 04:35:00-04:00,2026-03-31 08:35:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 04:35:00-04:00,2026-03-31 08:35:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 04:40:00-04:00,2026-03-31 08:40:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 04:40:00-04:00,2026-03-31 08:40:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 04:45:00-04:00,2026-03-31 08:45:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 04:45:00-04:00,2026-03-31 08:45:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 04:50:00-04:00,2026-03-31 08:50:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 04:50:00-04:00,2026-03-31 08:50:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 04:55:00-04:00,2026-03-31 08:55:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 04:55:00-04:00,2026-03-31 08:55:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 05:00:00-04:00,2026-03-31 09:00:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 05:00:00-04:00,2026-03-31 09:00:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 05:05:00-04:00,2026-03-31 09:05:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 05:05:00-04:00,2026-03-31 09:05:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 05:10:00-04:00,2026-03-31 09:10:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 05:10:00-04:00,2026-03-31 09:10:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 05:15:00-04:00,2026-03-31 09:15:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 05:15:00-04:00,2026-03-31 09:15:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 05:20:00-04:00,2026-03-31 09:20:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 05:20:00-04:00,2026-03-31 09:20:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 05:25:00-04:00,2026-03-31 09:25:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 05:25:00-04:00,2026-03-31 09:25:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 05:30:00-04:00,2026-03-31 09:30:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 05:30:00-04:00,2026-03-31 09:30:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 05:35:00-04:00,2026-03-31 09:35:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 05:35:00-04:00,2026-03-31 09:35:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 05:40:00-04:00,2026-03-31 09:40:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 05:40:00-04:00,2026-03-31 09:40:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 05:45:00-04:00,2026-03-31 09:45:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 05:45:00-04:00,2026-03-31 09:45:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 05:50:00-04:00,2026-03-31 09:50:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 05:50:00-04:00,2026-03-31 09:50:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 05:55:00-04:00,2026-03-31 09:55:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 05:55:00-04:00,2026-03-31 09:55:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 06:00:00-04:00,2026-03-31 10:00:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 06:00:00-04:00,2026-03-31 10:00:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 06:05:00-04:00,2026-03-31 10:05:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 06:05:00-04:00,2026-03-31 10:05:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 06:10:00-04:00,2026-03-31 10:10:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 06:10:00-04:00,2026-03-31 10:10:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 06:15:00-04:00,2026-03-31 10:15:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 06:15:00-04:00,2026-03-31 10:15:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 06:20:00-04:00,2026-03-31 10:20:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 06:20:00-04:00,2026-03-31 10:20:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 06:25:00-04:00,2026-03-31 10:25:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 06:25:00-04:00,2026-03-31 10:25:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 06:30:00-04:00,2026-03-31 10:30:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 06:30:00-04:00,2026-03-31 10:30:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 06:35:00-04:00,2026-03-31 10:35:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 06:35:00-04:00,2026-03-31 10:35:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 06:40:00-04:00,2026-03-31 10:40:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 06:40:00-04:00,2026-03-31 10:40:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 06:45:00-04:00,2026-03-31 10:45:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 06:45:00-04:00,2026-03-31 10:45:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 06:50:00-04:00,2026-03-31 10:50:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 06:50:00-04:00,2026-03-31 10:50:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 06:55:00-04:00,2026-03-31 10:55:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 06:55:00-04:00,2026-03-31 10:55:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 07:00:00-04:00,2026-03-31 11:00:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 07:00:00-04:00,2026-03-31 11:00:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 07:05:00-04:00,2026-03-31 11:05:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 07:05:00-04:00,2026-03-31 11:05:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 07:10:00-04:00,2026-03-31 11:10:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 07:10:00-04:00,2026-03-31 11:10:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 07:15:00-04:00,2026-03-31 11:15:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 07:15:00-04:00,2026-03-31 11:15:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 07:20:00-04:00,2026-03-31 11:20:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 07:20:00-04:00,2026-03-31 11:20:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 07:25:00-04:00,2026-03-31 11:25:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 07:25:00-04:00,2026-03-31 11:25:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 07:30:00-04:00,2026-03-31 11:30:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 07:30:00-04:00,2026-03-31 11:30:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 07:35:00-04:00,2026-03-31 11:35:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 07:35:00-04:00,2026-03-31 11:35:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 07:40:00-04:00,2026-03-31 11:40:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 07:40:00-04:00,2026-03-31 11:40:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 07:45:00-04:00,2026-03-31 11:45:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 07:45:00-04:00,2026-03-31 11:45:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
2026-03-31 07:50:00-04:00,2026-03-31 11:50:00+00:00,Duke Blue Devils,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-31 07:50:00-04:00,2026-03-31 11:50:00+00:00,LSU Tigers,0.7,0.91,0.09,0.09,-233,-1011,1011,1011,1.4286,1.0989,11.1111,11.1111,0.0,0
